key,label,description,sort
blessing,"Home-Blessing","Staubsaugen 30 Min, Duschbad light 15 Min, Türen & Spiegel & Steckdosen 15 Min",1000
Essenplan,"Essenplanung & Einkaufszettel","Einkaufen bei dm (per App oder in person)",1000
ArturAllein,"Nachmittag mit Artur allein","Nachmittag mit Artur allein",1000
RobinAllein,"Nachmittag mit Robin allein","Nachmittag mit Robin allein",1000
BeideKinder,"Nachmittag mit beiden Kindern","Nachmittag mit beiden Kindern",1000
KleidungKinder,"Kleidung der Kinder aktualisieren","Kleidung der Kinder aussortieren / in Kartons und Keller sortieren / neue Kleidung aus dem Keller holen oder einkaufen",1000
