key,label,description,sort
Flur,"Flur & Treppenhaus & Arbeitszimmer","Staubsaugen Arbeitszimmer & Wischen Flur, Staubwischen Flur & schnelles Fegen Treppenhaus nach oben (Staubsaugen nur unseren Absatz), gründliches Fegen (Stufen) & Staubsaugen Treppenhaus nach unten, Wischen Treppenhaus",2000
Küche,"Küche",,2000
Wohnzimmer,"Wohnzimmer",,2000
Schlafzimmer,"Kinderzimmer & Schlafzimmer",,2000
Bäder,"Bad & Duschbad","Boden wischen, Schränke von innen reinigen und von außen, Ablage wischen, Oberflächen wischen",2000
